#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   18:06:56      0       1497     G     0     0     0     0   Xorg           
 20200604   18:06:56      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:06:56      0       1823     G     2     0     0     0   Xorg           
 20200604   18:06:56      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:06:56      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:06:56      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:06:56      0       9759     G     0     0     0     0   firefox        
 20200604   18:06:56      0      18497     G     0     0     0     0   firefox        
 20200604   18:06:57      0       1497     G     0     0     0     0   Xorg           
 20200604   18:06:57      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:06:57      0       1823     G     2     0     0     0   Xorg           
 20200604   18:06:57      0       2214     G    14     4     0     0   gnome-shell    
 20200604   18:06:57      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:06:57      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:06:57      0       9759     G     0     0     0     0   firefox        
 20200604   18:06:57      0      18497     G     0     0     0     0   firefox        
 20200604   18:06:58      0       1497     G     0     0     0     0   Xorg           
 20200604   18:06:58      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:06:58      0       1823     G     1     0     0     0   Xorg           
 20200604   18:06:58      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:06:58      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:06:58      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:06:58      0       9759     G     0     0     0     0   firefox        
 20200604   18:06:58      0      18497     G     0     0     0     0   firefox        
 20200604   18:06:59      0       1497     G     0     0     0     0   Xorg           
 20200604   18:06:59      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:06:59      0       1823     G     0     0     0     0   Xorg           
 20200604   18:06:59      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:06:59      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:06:59      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:06:59      0       9759     G     0     0     0     0   firefox        
 20200604   18:06:59      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:00      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:00      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:00      0       1823     G     0     0     0     0   Xorg           
 20200604   18:07:00      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:07:00      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:00      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:00      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:00      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:01      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:01      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:01      0       1823     G     0     0     0     0   Xorg           
 20200604   18:07:01      0       2214     G     0     0     0     0   gnome-shell    
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   18:07:01      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:01      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:01      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:01      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:02      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:02      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:02      0       1823     G     0     0     0     0   Xorg           
 20200604   18:07:02      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:07:02      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:02      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:02      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:02      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:03      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:03      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:03      0       1823     G     1     0     0     0   Xorg           
 20200604   18:07:03      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:07:03      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:03      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:03      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:03      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:04      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:04      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:04      0       1823     G     1     0     0     0   Xorg           
 20200604   18:07:04      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:07:04      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:04      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:04      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:04      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:05      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:05      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:05      0       1823     G     3     0     0     0   Xorg           
 20200604   18:07:05      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:07:05      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:05      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:05      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:05      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:05      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:05      0      19216     G     0     0     0     0   cgl-render     
 20200604   18:07:06      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:06      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:06      0       1823     G     6     0     0     0   Xorg           
 20200604   18:07:06      0       2214     G     1     0     0     0   gnome-shell    
 20200604   18:07:06      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:06      0       2901     G     0     0     0     0   code --type=gpu
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   18:07:06      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:06      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:06      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:06      0      19216     G     1     0     0     0   cgl-render     
 20200604   18:07:07      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:07      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:07      0       1823     G     7     0     0     0   Xorg           
 20200604   18:07:07      0       2214     G     1     0     0     0   gnome-shell    
 20200604   18:07:07      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:07      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:07      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:07      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:07      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:07      0      19216     G     1     0     0     0   cgl-render     
 20200604   18:07:08      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:08      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:08      0       1823     G     4     0     0     0   Xorg           
 20200604   18:07:08      0       2214     G     3     0     0     0   gnome-shell    
 20200604   18:07:08      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:08      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:08      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:08      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:08      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:08      0      19216     G     1     0     0     0   cgl-render     
 20200604   18:07:09      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:09      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:09      0       1823     G     1     0     0     0   Xorg           
 20200604   18:07:09      0       2214     G     1     0     0     0   gnome-shell    
 20200604   18:07:09      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:09      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:09      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:09      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:09      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:09      0      19216     G     3     0     0     0   cgl-render     
 20200604   18:07:10      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:10      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:10      0       1823     G     1     0     0     0   Xorg           
 20200604   18:07:10      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:07:10      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:10      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:10      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:10      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:10      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:10      0      19216     G     2     0     0     0   cgl-render     
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   18:07:11      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:11      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:11      0       1823     G     5     0     0     0   Xorg           
 20200604   18:07:11      0       2214     G     3     0     0     0   gnome-shell    
 20200604   18:07:11      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:11      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:11      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:11      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:11      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:11      0      19216     G     1     0     0     0   cgl-render     
 20200604   18:07:12      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:12      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:12      0       1823     G     9     1     0     0   Xorg           
 20200604   18:07:12      0       2214     G     2     0     0     0   gnome-shell    
 20200604   18:07:12      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:12      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:12      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:12      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:12      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:12      0      19216     G     1     0     0     0   cgl-render     
 20200604   18:07:13      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:13      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:13      0       1823     G     7     0     0     0   Xorg           
 20200604   18:07:13      0       2214     G     2     0     0     0   gnome-shell    
 20200604   18:07:13      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:13      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:13      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:13      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:13      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:13      0      19216     G     1     0     0     0   cgl-render     
 20200604   18:07:14      0       1497     G     0     0     0     0   Xorg           
 20200604   18:07:14      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:07:14      0       1823     G     1     0     0     0   Xorg           
 20200604   18:07:14      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:07:14      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:07:14      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:07:14      0       9759     G     0     0     0     0   firefox        
 20200604   18:07:14      0      18497     G     0     0     0     0   firefox        
 20200604   18:07:14      0      19214     G     0     0     0     0   drawelements   
 20200604   18:07:14      0      19216     G     2     0     0     0   cgl-render     
 20200604   18:07:15      0       1497     G     0     0     0     0   Xorg           
