#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   18:03:44      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:44      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:44      0       1823     G     7     1     0     0   Xorg           
 20200604   18:03:44      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:03:44      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:44      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:45      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:45      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:45      0       1823     G    20     6     0     0   Xorg           
 20200604   18:03:45      0       2214     G     1     0     0     0   gnome-shell    
 20200604   18:03:45      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:45      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:46      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:46      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:46      0       1823     G     1     0     0     0   Xorg           
 20200604   18:03:46      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:03:46      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:46      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:47      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:47      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:47      0       1823     G     0     0     0     0   Xorg           
 20200604   18:03:47      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:03:47      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:47      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:48      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:48      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:48      0       1823     G     1     0     0     0   Xorg           
 20200604   18:03:48      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:03:48      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:48      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:49      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:49      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:49      0       1823     G     1     0     0     0   Xorg           
 20200604   18:03:49      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:03:49      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:49      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:50      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:50      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:50      0       1823     G     1     0     0     0   Xorg           
 20200604   18:03:50      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:03:50      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:50      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:51      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:51      0       1608     G     0     0     0     0   gnome-shell    
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   18:03:51      0       1823     G     0     0     0     0   Xorg           
 20200604   18:03:51      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:03:51      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:51      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:52      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:52      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:52      0       1823     G     1     0     0     0   Xorg           
 20200604   18:03:52      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:03:52      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:52      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:53      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:53      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:53      0       1823     G     1     0     0     0   Xorg           
 20200604   18:03:53      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:03:53      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:53      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:53      0      18869     G     0     0     0     0   spot           
 20200604   18:03:53      0      18871     G     0     0     0     0   cgl-render     
 20200604   18:03:54      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:54      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:54      0       1823     G     3     0     0     0   Xorg           
 20200604   18:03:54      0       2214     G     2     0     0     0   gnome-shell    
 20200604   18:03:54      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:54      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:54      0      18869     G     0     0     0     0   spot           
 20200604   18:03:54      0      18871     G     0     0     0     0   cgl-render     
 20200604   18:03:55      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:55      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:55      0       1823     G     4     0     0     0   Xorg           
 20200604   18:03:55      0       2214     G     7     1     0     0   gnome-shell    
 20200604   18:03:55      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:55      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:55      0      18869     G     0     0     0     0   spot           
 20200604   18:03:55      0      18871     G     1     0     0     0   cgl-render     
 20200604   18:03:56      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:56      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:56      0       1823     G     5     0     0     0   Xorg           
 20200604   18:03:56      0       2214     G     5     0     0     0   gnome-shell    
 20200604   18:03:56      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:56      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:56      0      18869     G     1     0     0     0   spot           
 20200604   18:03:56      0      18871     G     0     0     0     0   cgl-render     
 20200604   18:03:57      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:57      0       1608     G     0     0     0     0   gnome-shell    
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   18:03:57      0       1823     G     4     0     0     0   Xorg           
 20200604   18:03:57      0       2214     G     7     1     0     0   gnome-shell    
 20200604   18:03:57      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:57      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:57      0      18869     G     0     0     0     0   spot           
 20200604   18:03:57      0      18871     G     3     0     0     0   cgl-render     
 20200604   18:03:58      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:58      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:58      0       1823     G     3     0     0     0   Xorg           
 20200604   18:03:58      0       2214     G     3     0     0     0   gnome-shell    
 20200604   18:03:58      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:58      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:58      0      18869     G     0     0     0     0   spot           
 20200604   18:03:58      0      18871     G     5     0     0     0   cgl-render     
 20200604   18:03:59      0       1497     G     0     0     0     0   Xorg           
 20200604   18:03:59      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:03:59      0       1823     G     4     0     0     0   Xorg           
 20200604   18:03:59      0       2214     G     3     0     0     0   gnome-shell    
 20200604   18:03:59      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:03:59      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:03:59      0      18869     G     0     0     0     0   spot           
 20200604   18:03:59      0      18871     G     4     0     0     0   cgl-render     
 20200604   18:04:00      0       1497     G     0     0     0     0   Xorg           
 20200604   18:04:00      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:04:00      0       1823     G     4     0     0     0   Xorg           
 20200604   18:04:00      0       2214     G     4     0     0     0   gnome-shell    
 20200604   18:04:00      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:04:00      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:04:00      0      18869     G     0     0     0     0   spot           
 20200604   18:04:00      0      18871     G     3     0     0     0   cgl-render     
 20200604   18:04:01      0       1497     G     0     0     0     0   Xorg           
 20200604   18:04:01      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:04:01      0       1823     G     7     0     0     0   Xorg           
 20200604   18:04:01      0       2214     G     0     0     0     0   gnome-shell    
 20200604   18:04:01      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:04:01      0       2901     G     0     0     0     0   code --type=gpu
 20200604   18:04:01      0      18869     G     0     0     0     0   spot           
 20200604   18:04:01      0      18871     G     2     0     0     0   cgl-render     
 20200604   18:04:02      0       1497     G     0     0     0     0   Xorg           
 20200604   18:04:02      0       1608     G     0     0     0     0   gnome-shell    
 20200604   18:04:02      0       1823     G     9     0     0     0   Xorg           
 20200604   18:04:02      0       2214     G     1     0     0     0   gnome-shell    
 20200604   18:04:02      0       2835     G     0     0     0     0   electron-ssr --
 20200604   18:04:02      0       2901     G     0     0     0     0   code --type=gpu
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   18:04:02      0      18869     G     0     0     0     0   spot           
 20200604   18:04:02      0      18871     G     1     0     0     0   cgl-render     
 20200604   18:04:03      0       1497     G     0     0     0     0   Xorg           
